Business Area,Business Domain,Service Domain,API Title,API_Description
Operations and Execution,Business Development,IT Standards And Guidelines,IT Standards And Guidelines,"Define and apply comprehensive IT architectures, policies and standards as appropriate. Also define the IT usage guidelines and procedures governing systems use across the enterprise"
Operations and Execution,Card Products,Card Clearing,Card Clearing,"This service domain orchestrates the capture and consolidation of card financial transactions originating from various sources, such as POS Network, E-Commerce Gateway, ATM Network, or Card Case Management. It also handles the clearing of the transactions from the Acquirers to the Issuers through the Card Networks"
Operations and Execution,Card Products,Card Authorization,Card Authorization,This service domain is responsible for the real time card authorization decisions for credit/charge cards.
Operations and Execution,Financial Markets,Position Keeping,Position Keeping,This service domain maintains a financial transaction log to support production. Reconciled financial transactions are subsequently posted to the accounting systems
Operations and Execution,Card Products,Merchant Relations,Merchant Relations,This service domain maintains the terms and conditions agreed with merchants for cards related activity
Operations and Execution,Financial Markets,Order Allocation,Order Allocation,This Service Domain allocates partially fulfilled market trades
Operations and Execution,Corporate Finance,Syndicated Loan,Syndicated Loan,Handle the processing of syndicated loans with the bank playing the lead coordination role with other syndicate bank members. Note some initial preparation may have been made through prior customer offer processing.
Operations and Execution,Customer Servicing,Reward Points Awards And Redemption,Reward Points Awards And Redemption,Handle the allocation and redemption of rewards points for customer transaction activity
Operations and Execution,Marketing,Customer Surveys,Customer Surveys,Define and execute and analyze customer surveys
Operations and Execution,Loans and Deposits,Disbursement,Disbursement,This service domain handles the disbursement of funds to newly established loans/facilities as necessary
Operations and Execution,Financial Markets,Trade Confirmation Matching,Trade Confirmation Matching,This Service Domain supports the bank's interface to a central market matching and confirmation service whether the bank acts as broker dealer or institutional investor
Operations and Execution,Payments,Transaction Engine,Transaction Engine,Orchestrate a schedule of payment transaction and reporting activities for the fulfillment of certain long term instruments or structured facilities
Operations and Execution,Loans and Deposits,Current Account,Current Account,"This service domain orchestrates a consumer checking/demand deposit account. The typical range of services and fees covers payments and deposits, standing orders, sweeps, liens, check and debit card access."
Operations and Execution,Wealth Management,Consumer Advisory Services,Consumer Advisory Services,"Offer financial advisory services to consumer customers, possibly for a fee"
Reference Data,Market Data,Financial Instrument Reference Data Management,Financial Instrument Reference Data Management,This Service Domain maintains a directory of financial instrument reference data
Risk and Compliance,Collections,Collections,Collections,Handles the liquidation of assets to offset the losses for problem accounts
Operations and Execution,Product and Price,Product Inventory Distribution,Product Inventory Distribution,Administer the provisioning and distribution of product inventory across the branch network and/or distribute direct to customers (e.g. mail) where appropriate
Operations and Execution,Customer Management,Customer Portfolio,Customer Portfolio,Maintain a portfolio of analytical views of the customer base to support customer segment profitability and performance analysis
Operations and Execution,Human Resource Management,Product Training,Product Training,"Develop and provide product specific training across the workforce. This includes all media and training mechanisms (on-line, self taught, classroom etc.)"
Operations and Execution,Marketing,Competitor Analysis,Competitor Analysis,"Solicit, consolidate and analyze competitor specific public domain data to develop competitor insights and comparisons"
Operations and Execution,Wealth Management,Custody Administration,Custody Administration,A service to provide safe custody services for marketable securities for bank customers
Risk and Compliance,Regulatory Compliance,Regulatory And Legal Authority,Regulatory And Legal Authority,"Maintain effective relations with regulators, accounting and government agencies. Oversee interactions and reporting as necessary"
Operations and Execution,Card Products,Card Financial Settlement,Card Financial Settlement,This service domain orchestrates the settlement of the transactions between the Issuers and the Acquirers through the Card Networks.
Operations and Execution,Card Products,Card eCommerce Gateway,Card eCommerce Gateway,"This service domain orchestrates the processing of e-commerce transactions for authentication, authorization and capture of the financial transactions."
Operations and Execution,Customer Servicing,Issued Device Tracking,Issued Device Tracking,"This service domain handles operational access to issued device tracking services. Services report on the status of devices such as cards, fobs, etc. that have been issued to customers. Service notifications include fraud warnings/alerts and device cancellation."
Operations and Execution,Product and Price,Sales Product,Sales Product,"A representation of a product as sold to a customer, covering the operational fulfillment requirements"
Operations and Execution,Card Products,Credit Card Position Keeping,Credit Card Position Keeping,"Maintain a log of credit card bookings and authorizations for operational and management information, tracking and reconciliation purposes."
Operations and Execution,Payments,Bank Drafts,Bank Drafts,This Service Domain support bank guaranteed payment transactions such as bank drafts
Operations and Execution,Payments,Financial Gateway,Financial Gateway,"This service domain operates automated message interfaces to secure networks such as SWIFT, TELEX, ACH and Financial Market/Exchange reporting services"
Operations and Execution,Marketing,Advertising,Advertising,"Develop the plan for and oversee advertising campaign activity, including budget and resource management"
Operations and Execution,Customer Management,Customer Event History,Customer Event History,"This service domain captures, classifies and stores relationship, servicing and product fulfillment related customer events. In addition to servicing and product transaction details, the log can capture life/relationship events that are revealed during customer exchanges"
Operations and Execution,Financial Markets,Trade and Price Reporting,Trade and Price Reporting,This Service Domain operates an automated facility that reports executed market trades to the market place as required by the rules of market participation
Risk and Compliance,Fraud/AML,Fraud Diagnosis,Fraud Diagnosis,This service domain handles the evaluation of detected possible fraud to support an appropriate response to contain the exposure
Operations and Execution,Customer Management,Customer Behavior Insights,Customer Behavior Insights,This service domain applies behavioral analysis to customer event history to maintain a range of customer ratings/scores (such as 'propensity to buy') and to detect life events or trends
Operations and Execution,Product and Price,Product Portfolio,Product Portfolio,Maintain a portfolio of analytical views of the product portfolio to support product profitability and performance analysis
Reference Data,Party,Legal Entity Directory,Legal Entity Directory,This service domain maintains details of the legal entity structure of the party including dependents and associations for individuals and ownership/subsidiary structures for corporations. Some financial indicators and product coverage/activity details can be included where this defines the nature of the legal entity relationship in particular for corporate entities
Operations and Execution,Wealth Management,Corporate Trust Services,Corporate Trust Services,This Service Domain provides corporate trust services centered on the handling of debt instruments and escrow account support
Risk and Compliance,Regulatory Compliance,Regulatory Compliance,Regulatory Compliance,"This service domain provides a service to interpret regulatory requirements, provide guidance and define and implement a portfolio of regulatory compliance tests across all appropriate bank activities"
Operations and Execution,Customer Servicing,Customer Case Management,Customer Case Management,Track and assess case load and resolution activity - allocate resources as necessary to optimize case resolution performance
Operations and Execution,Payments,Direct Debit Mandate,Direct Debit Mandate,This service domains manages the customer mandates associated with direct debit processing for a corporate client
Operations and Execution,Loans and Deposits,Corporate Current Account,Corporate Current Account,"This service domain orchestrates a corporate checking/demand deposit account. The typical range of services and fees covers payments and deposits, standing orders, sweeps, liens, check and debit card access."
Operations and Execution,Customer Servicing,Customer Workbench,Customer Workbench,This service domain represents customer side devices. Most commonly providing a customer access portal to the banks products and services through any suitable channel and device
Operations and Execution,Card Products,Card Network Participant Facility,Card Network Participant Facility,"This service domain orchestrates the activities related to the inclusion of new Acquirers and Issuers in the Card Network, their terms and conditions and their status."
Operations and Execution,Product and Price,Special Pricing Conditions,Special Pricing Conditions,Maintain a pricing list or conditions (with ranges and optional terms) categorized by various dimensions to impose exceptional product pricing conditions that override standard pricing terms (for special events/situations)
Operations and Execution,Bank Relations,Interbank Relationship Management,Interbank Relationship Management,"Manage the bank's relationship with other banks, covering any specific agreements that may be in place and overseeing operational issues."
Operations and Execution,Payments,Payment Execution,Payment Execution,"This service domains processes the movement of funds between accounts within the bank or to/from an account held with another bank, selecting the appropriate payment mechanism"
Operations and Execution,Payments,Standing Order,Standing Order,"Customers can issue standing orders to the bank. In most cases this is for the execution of a periodical payment, but there are other standing instructions like, sweeping balances at end of month, topping off excess funds for a current account, etc. "
Operations and Execution,Loans and Deposits,Savings Account,Savings Account,"This service domain orchestrates a consumer savings account. The typical range of services and fees covers payments from and scheduled and ad-hoc deposits to the account, standing orders, sweeps, and liens."
Operations and Execution,Customer Management,Customer Relationship Management,Customer Relationship Management,"This service domain develops and executes a customer plan to maintain and build a customer relationship. Activities include ongoing customer contact, tracking internal and external events and activity of interest and relevance, product and service matching and sales, processing ad-hoc queries, trouble shooting and issue resolution including the initial phases of troubled account recovery"
Operations and Execution,Finance and Risk Management,Internal Bank Account,Internal Bank Account,This Service Domain manages the banking-related accounts that are not owned by customers. These are not general ledger accounts. Typical examples are holding accounts and mirror accounts.
Operations and Execution,Customer Servicing,Correspondence,Correspondence,This service domain orchestrates the production of pre-formatted correspondence and batches of correspondence (e.g. mail shots).
Operations and Execution,Product and Price,Product Design,Product Design,Develop/refine product designs and supporting specification details
Operations and Execution,Customer Servicing,Session Dialogue,Session Dialogue,"This service domain handles/structures the customer narrative during an interactive session. It consolidates and presents pertinent customer information and provides servicing guidelines with standard dialogue/scripting as appropriate. It can include the capability to provoke questions to capture key relationship and sales triggers. It also ensures the correct sequencing, dialogue content and actions are performed/initiated during the customer interaction. It may further leverage the session by passing on customer notifications, status updates and triggering sales/marketing efforts."
Risk and Compliance,Regulatory Compliance,Legal Compliance,Legal Compliance,"Provide specialist legal advice, assess for legal compliance and resolve legal cases as they occur"
Operations and Execution,Financial Markets,Market Order Execution,Market Order Execution,"The Market Order Execution Service Domain is responsible for the booking of securities transactions (e.g. resulting from market orders or some types of corporate actions) on investment accounts, so in terms of security name plus quantity."
Operations and Execution,Customer Management,Customer Position,Customer Position,"This service domain maintains a consolidated financial position for a customer, combining details from all products and services in use. The position can cover available funds, credit, collateral, tax exposure and other financial measures as necessary"
Risk and Compliance,Credit Risk,Credit Risk Operations,Credit Risk Operations,This Service Domain monitors counterparty credit limits in the trading unit
Operations and Execution,Financial Markets,Program Trading,Program Trading,This Service Domain supports a program trading capability where the trading decisions are made based on predefined/programmed rules and policies. Manual oversight and monitoring capabilities are supported as appropriate
Operations and Execution,Financial Markets,Trading Book Oversight,Trading Book Oversight,This Service Domain oversees the bank's trading book (a type of account ledger that records details of frequently traded securities held by the bank) to manage the banks market risk
Operations and Execution,Finance and Risk Management,Open Item Management,Open Item Management,This service domain provides a service for handling the resolution of open items against accounts (such as overdue loan payments)
Operations and Execution,Loans and Deposits,Leasing,Leasing,The leasing products enables customers to finance equipment purchases using the leased item as collateral when necessary
Operations and Execution,IT Management,Production Release,Production Release,Maintain and apply production release tests for new and updated systems
Operations and Execution,Financial Markets,Market Data Switch Operation,Market Data Switch Operation,This service domain operates the internal information distribution facility/switch in compliance with administered external subscription information feed service access rights. Note the content is retrieved by the Market Feed Operation service domain from the various external feed services. Internal information can also be published over the switch from various bank sources (such as bank rates provided by treasury).
Operations and Execution,Channels,Advanced Voice Services Management,Advanced Voice Services Management,Oversee the configuration and operation of the voice channel facilities
Operations and Execution,Loans and Deposits,Loan,Loan,This service domain handles the fulfillment of a general loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks
Operations and Execution,Financial Markets,Market Making,Market Making,This Service Domain enables the bank to fulfill its market making function typically in collaboration with a trading exchange. The bank maintains a buy/sell quote for the securities it supports as a market maker and accepts buy/sell orders on request
Operations and Execution,Customer Servicing,Reward Points Account,Reward Points Account,Administer the booking and remittance of rewards points
Operations and Execution,Customer Servicing,Customer Case,Customer Case,"This service domain handles the initiation, tracking, resolution and reporting on customer cases (issues that typically require corrective response to some financial transaction)"
Operations and Execution,Wealth Management,Trust Services,Trust Services,This Service Domain support a range of trust management services offered to high value customers
Operations and Execution,Financial Markets,Dealer Desk,Dealer Desk,The Dealer Workbench represents the bank's dealing desk facility supporting one or more trading lines of activity for both agency and principal trading in all chosen market instruments. It also supports sales and market risk trading desk functions
Risk and Compliance,Collections,Account Recovery,Account Recovery,This service domain handles the restructuring of a distressed account (loan) after standard recovery procedures have been exhausted
Operations and Execution,Channels,Branch Location Management,Branch Location Management,"Manage and oversee branch activity, assign resources to optimize branch performance"
Operations and Execution,Cash/Currency,Branch Currency Distribution,Branch Currency Distribution,Schedule and coordinate the secure distribution of cash inventory across the branch and ATM networks.
Operations and Execution,Marketing,Market Analysis,Market Analysis,This service domain analyzes internal and external market information sources as necessary to develop specific market insights. It may maintain a collection of predefined market analyses and may also offer specific ad-hoc analysis on request
Operations and Execution,Wealth Management,Consumer Investments,Consumer Investments,Handle the consumer front-end trading requests. These will typically be blocked/netted for market execution
Operations and Execution,Loans and Deposits,Consumer Loan,Consumer Loan,This service domain handles the fulfillment of a consumer loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks
Operations and Execution,Loans and Deposits,Cash Management And Account Services,Cash Management And Account Services,This service domain orchestrates a cash management and accounting services facility typically used by corporations to support additional cash management features over and above the standard facilities of current and savings accounts
Operations and Execution,Payments,Corporate Payroll Services,Corporate Payroll Services,The Corporate Payroll Services Service Domain handles payroll payment processing for the employees of a corporate customer.
Operations and Execution,Corporate Finance,Project Finance,Project Finance,This Service Domain fulfills project financing by which major (government) projects can attract privet sector financing
Operations and Execution,Human Resource Management,Commission Agreement,Commission Agreement,Maintain and administer the terms and transactions for employee and broker commissions
Operations and Execution,Marketing,Prospect Campaign Management,Prospect Campaign Management,Assess the coverage and impact of external/prospect campaigns and redirect campaign development and execution activity accordingly
Operations and Execution,IT Management,Systems Administration,Systems Administration,"Administer the configuration, maintenance, assignment and track usage and status of all IT assets deployed in development and production across the enterprise"
Operations and Execution,Product and Price,Product Matching,Product Matching,"Capability used to match eligible product and product combinations to a customer based on prevailing conditions such as customer type, product interest, solicitation/retention, campaign alignment"
Operations and Execution,Loans and Deposits,Credit Facility,Credit Facility,The Credit Facility Service Domain manages the Credit Facilities that a Corporate Customer has with the bank. A Credit Facility is an agreement between the bank and a (corporate) customer to allow the customer to acquire asset products from the bank up to the limit of the credit facility without the need for a full due diligence and underwriting for each of these products.
Reference Data,Party,Party Reference Data Directory,Party Reference Data Directory,"This service domain maintains a range of party reference information covering aspects including general reference details, contacts and associations and demographic information"
Operations and Execution,Payments,Processing Order,Processing Order,"The Processing Order Service Domain handles the processing of a service request that comes in via a secure channel from a known requestor, which is typically an automated process itself and not a customer."
Operations and Execution,Customer Management,Customer Offer,Customer Offer,"This service domain orchestrates the processing of a product offer for a new or established  customer. The offer process is defined specifically for the product or service being considered and can include actions such as document checks, collateral allocation, credit assessments, underwriting decisions, regulatory and procedural checks, eligibility checks, the use of internal and external specialist services (such as evaluations and legal advice)."
Operations and Execution,Payments,Cheque Lock Box,Cheque Lock Box,This Service Domain support paper cheque processing services offered to corporate customers
Operations and Execution,Cash/Currency,Cash Concentration,Cash Concentration,"Cash Concentration is a cash management service aimed at moving a balance, or part of a balance of an account to a different account to meet various requirements."
Risk and Compliance,Credit Risk,Collateral Allocation Management,Collateral Allocation Management,The Service Domain manages the allocation of party owned assets to bank issued lending and other asset products.
Reference Data,Market Data,Public Reference Data Management,Public Reference Data Management,"Provide structured access to standard 'global' reference data and definitions associated with market activity such as currency, country and segment identifiers."
Operations and Execution,Document Management,Archive Services,Archive Services,"The Archive Services Service Domain enables the bank to retain, maintain and access significant documents that are no longer actively accessed but that might be required in the future"
Operations and Execution,Customer Servicing,Servicing Mandate,Servicing Mandate,This service domain maintains the allowed customer servicing arrangements for a service provider covering general access to the bank's products and services and optionally customer specific arrangements
Operations and Execution,Customer Servicing,Servicing Issue,Servicing Issue,This Service Domain handles production customer servicing issues detected in the customer servicing environment
Operations and Execution,Financial Markets,Market Order,Market Order,Market Order records an instruction from a customer or his or her representative to buy or sell securities. It follows the order during its lifetime and reports back to the requestor on the execution.
Operations and Execution,Card Products,Card Transaction Switch,Card Transaction Switch,"This service domain orchestrates the switching and routing of Card Authorization and Financial transactions received through the Card POS Network, Card E-Commerce Gateway, or the ATM Network from the Acquirer to the Issuer through the Card Networks."
Operations and Execution,Product and Price,Product Service Agency,Product Service Agency,This Service Domain establishes and maintains contractual arrangements with product and service agencies
Operations and Execution,Product and Price,Product Deployment,Product Deployment,Plan and administer the production deployment new and updated products and services
Operations and Execution,Cash/Currency,Branch Currency Management,Branch Currency Management,"Track cash inventory, project demand and ensure all cash is accounted for within the branch"
Operations and Execution,Financial Markets,Trade Settlement,Trade Settlement,"This Service Domain handles the final movement of cash and securities between depositories as previously confirmed in the clearing process, in order to settle a market trade"
Risk and Compliance,Fraud/AML,Fraud Evaluation,Fraud Evaluation,The service domain executes fraud behavioral pattern tests to detect possible fraudulent transactions/activity
Operations and Execution,Payments,Direct Debit,Direct Debit,Fulfils a direct debit agreement.  Handles the creditor side of direct debits.
Operations and Execution,Bank Relations,Service Provider Operations,Service Provider Operations,This Service Domain handles the range of operational actions used in production interactions with an external service provider.
Risk and Compliance,Collections,Delinquent Account Handling,Delinquent Account Handling,This service domain handles delinquent accounts (typically for active credit/charge cards) for follow-up of payments due through periodic review and contacts. This process ends when the account is cancelled and is transferred to Collections
Operations and Execution,Financial Markets,Financial Instrument Valuation,Financial Instrument Valuation,This Service Domain provides a range of financial asset valuation services  
Operations and Execution,Loans and Deposits,Corporate Lease,Corporate Lease,The Corporate Lease product provides corporate customers with loans to support leasing activity for property and equipment under an umbrella leasing arrangement
Operations and Execution,Card Products,Card Terminal Operation,Card Terminal Operation,"This service domain handle POS operations including processing, capture and tracking of the transactions originating at the Point of Sale devices."
Operations and Execution,Wealth Management,Investment Portfolio Management,Investment Portfolio Management,"Manage an investment portfolio, initiating trading to leverage market opportunities, remaining within portfolio trading policies"
Operations and Execution,Marketing,Brand Management,Brand Management,Respond to events that potentially damage the brand or provide an opportunity to strengthen/leverage brand awareness
Operations and Execution,Bank Relations,Correspondent Bank Operations,Correspondent Bank Operations,"This service domain fulfils correspondent banking arrangements between the bank and its correspondent banking partners.  This includes handling the clearing and settlement of payments to/from the correspondent banks, typically using the SWIFT payment network."
Operations and Execution,Customer Servicing,Contact Routing,Contact Routing,"The Contact Routing service domain tracks servicing resource availability and uses any known details about the customer contact (e.g. identity, indicated purpose of call, status of the relationship) to make an optimal routing decision. The routing selection may include matching the required product knowledge/skills to the available servicing resources."
Operations and Execution,Product and Price,Product Quality Assurance,Product Quality Assurance,Maintain and execute a portfolio of product quality assurance tests and certifications that can be applied to evaluate any aspect of production activity for quality assurance
Operations and Execution,Finance and Risk Management,Financial Accounting,Financial Accounting,"The Financial Accounting Service Domain takes in financial facts and based on these, creates accounting instructions that will update the general ledger and sub ledger accounts"
Operations and Execution,Business Development,Business Development,Business Development,"Define, implement, track and assess the new business development plans"
Operations and Execution,Loans and Deposits,Bank Guarantee,Bank Guarantee,This Service Domain handles the pricing and issuance of a broad range of bank guarantee instruments
Operations and Execution,Channels,Operational Gateway,Operational Gateway,"This Service Domain operates production information exchanges with external parties for non-financial messages/transactions. It may employ a broad range of channels, media and technologies as needed to support the different requirements of any particular third party interface"
Operations and Execution,Financial Markets,Financial Market Research,Financial Market Research,The service domain consolidates external financial market research
Operations and Execution,Business Development,Business Unit Management,Business Unit Management,Track and report on business unit activity and financial performance
Operations and Execution,Customer Servicing,Servicing Event History,Servicing Event History,"This service domain captures, classifies and stores servicing activity and events to support root cause analysis"
Operations and Execution,Finance and Risk Management,Asset And Liability Management,Asset And Liability Management,The unit overseeing the  banks asset & liability policies and position
Operations and Execution,Channels,Branch Location Operations,Branch Location Operations,"The day to day administration of branch activity, including teller assignment and cash handling oversight"
Operations and Execution,Customer Management,Customer Behavior Models,Customer Behavior Models,"This service domain handles the design and maintenance of a portfolio of customer behavior models that might be used in all aspects of customer relationship development, sales, servicing and product fulfillment"
Risk and Compliance,Regulatory Compliance,Suitability Checking,Suitability Checking,Confirm that all involved counterparties are suitable for a proposed market trade.
Operations and Execution,Business Development,Management Manual,Management Manual,"Develop, maintain and promulgate the management manual of required procedures and guidelines. Provide support in its reference and interpretation as appropriate"
Operations and Execution,Customer Servicing,Customer Billing,Customer Billing,"This service domains provides a central service to compose, issue and track customer billing and invoices"
Operations and Execution,Customer Servicing,Customer Access Entitlement,Customer Access Entitlement,This service domain maintains the details of the allowed channel/device based access to products and services that the customer has in place.  This profile is referenced in servicing and fulfillment activity and may include customer preferences and access limits/constraints that span multiple products.
Operations and Execution,Marketing,Promotional Events,Promotional Events,"Develop the plan for and oversee promotional event activity, including budget and resource management"
Operations and Execution,Payments,ACH Operations,ACH Operations,This service domain operates the Automated Clearing House (ACH) access gateway between the bank and the ACH service provider
Operations and Execution,Corporate Finance,ECM And DCM,ECM And DCM,"Supports the specification, pricing and issuance of equity and debt (bond) primary capital market products for corporate financing services"
Operations and Execution,Card Products,Card Case,Card Case,"This service domain handles the processing of a customer card case, typically a disputed charge"
Risk and Compliance,Regulatory Compliance,Compliance Reporting,Compliance Reporting,This service domain administers and orchestrates the tasks required to apply and report on internal audit control and reporting activity
Risk and Compliance,Collections,Card Collections,Card Collections,This service domain administers the recovery of outstanding amounts from cancelled card accounts through internal or external collection agencies.  This may involve negotiating payment terms and/or interest write-downs.
Operations and Execution,Card Products,Card Transaction Capture,Card Transaction Capture,A distributed facility to capture card transactions at the point of sale
Operations and Execution,Channels,Contact Center Operations,Contact Center Operations,Administer the day to day activity in the contact center - allocate positions and track staff availability and performance
Operations and Execution,Human Resource Management,Commissions,Commissions,The service domain processes commissions for transactions for eligible employees
Operations and Execution,Wealth Management,Fiduciary Agreement,Fiduciary Agreement,An agreement where the bank agrees to act on behalf of the customer in a financial matter and in accordance with the agreement terms
Operations and Execution,Card Products,Merchant Acquiring Facility,Merchant Acquiring Facility,"This service domain orchestrates the activities related to Merchant fulfillment, Merchant Account maintenance, Merchant transactional activities and settlement, including the billing of merchant fees and charges."
Operations and Execution,Finance and Risk Management,Accounts Receivable,Accounts Receivable,This service domain handles accounts receivable for invoices issue by the bank to customers and partners. It includes follow-up and resolution activity for delayed/missed payments
Risk and Compliance,Regulatory Compliance,Guideline Compliance,Guideline Compliance,"This service domain develops and applies a portfolio of guideline compliance tests to confirm adherence to bank and regulator imposed internal procedures. Tests may be made on complete transaction data or a meaningful samples as appropriate to mitigate exposure to non-compliant behaviors. Compliance checks may be in response to a schedule, a specific request as part of normal processing or may be initiated randomly as an oversight activity"
Operations and Execution,Product and Price,Sales Product Agreement,Sales Product Agreement,This service domain maintains a structured legal agreement defining the contractual terms and conditions for an in-force product for a customer. It is subordinate to the customer's master agreement that is maintained by the Customer Agreement service domain
Operations and Execution,Product and Price,Product Inventory Item Management,Product Inventory Item Management,Maintain and distribute product inventory
Operations and Execution,Finance and Risk Management,Financial Statement Assessment,Financial Statement Assessment,"This Service Domain supports a range of financial analyses that can be used to extract specific insights (e.g. valuations, liquidity, risk, market sensitivities) from an entity's financial statements"
Operations and Execution,Customer Servicing,Servicing Activity Analysis,Servicing Activity Analysis,This service domain analyzes servicing activity to support continual service improvement
Operations and Execution,Business Development,Product Sales Support,Product Sales Support,This Service Domain administers customer access to product specialists
Operations and Execution,Customer Management,Customer Proposition,Customer Proposition,This Service Domain maintains bank and customer defined requirements spanning all products and services
Operations and Execution,Financial Markets,Quote Management,Quote Management,This service domain handles the procedure used by traders to obtain and selecting quotes from market makers 
Operations and Execution,Bank Relations,Correspondent Bank Relationship Management,Correspondent Bank Relationship Management,"This Service Domain manages correspondent bank relations, ensuring reciprocity and developing business where possible"
Operations and Execution,Channels,Point of Service,Point of Service,"This service domain operates servicing positions within the bank. It administers all media connections, inventory holdings (e.g. cash), provides access to support utilities and tracks servicing activity -e.g. time spent, activity logs, capturing servicing events including commission and training related actions. In cases servicing positions can be automated"
Operations and Execution,Channels,Channel Activity History,Channel Activity History,This service domains consolidates and captures customer channel usage activity to support channel activity analysis and also can be referenced for customer access authorization and routing decisions
Operations and Execution,Loans and Deposits,Factoring,Factoring,This Service Domain supports a factoring service for corporate customers enabling them to convert accounts receivable into immediate funds at a discount
Operations and Execution,Financial Markets,Securities Position Keeping,Securities Position Keeping,This service domain maintains a securities transaction log to support securities investment activity
Operations and Execution,Customer Servicing,Party Routing Profile,Party Routing Profile,"This service domain maintains a small profile of key indicators for a customer that is referenced during customer interactions to facilitate routing, servicing and product/service fulfillment decisions. This can include status (such as account in arrears), ratings (such as high value customer) and alerts (such possible fraud activity detected)"
Operations and Execution,Marketing,Market Research,Market Research,"This service domain handles the capture of market research from multiple external sources. This can include live feeds, analysis and reports in any form. The information is classified/catalogued and stored for retrieval."
Operations and Execution,Customer Servicing,Servicing Order,Servicing Order,This service domain handles the processing of a customer servicing request as a predefined procedure. A range of standard servicing requests can be supported. The process can include a check of permissions when the request is made by a third party/service provider
Operations and Execution,Corporate Finance,Corporate Tax Advisory,Corporate Tax Advisory,"A fee or commission based product providing tax specific assessments, advice and guidance for corporate customers"
Operations and Execution,Document Management,Document Services,Document Services,The Document Services Service Domain manages the creation and maintenance of documents throughout the bank.
Operations and Execution,Corporate Finance,Public Offering,Public Offering,"This Service Domain supports a broad range of complex financial, accounting and regulatory actions involved in providing advice and practical support to companies going public and/or raising additional capital through the issuance of publicly traded securities"
Operations and Execution,Business Development,Intellectual Property Portfolio,Intellectual Property Portfolio,Administer the bank's intellectual property assets
Operations and Execution,Wealth Management,Investment Account,Investment Account,"This service domain handles the non-cash holdings positions for a customer, covering multiple instruments as necessary"
Operations and Execution,Financial Markets,Market Information Management,Market Information Management,Market information management consolidates and improves market information from multiple sources in order to build up a bank knowledge base in targeted areas
Risk and Compliance,Fraud/AML,Transaction Authorization,Transaction Authorization,"This service domain handles risk based authorization for interactive customer transactions. This combines the context (channel) transaction, customer details and recent activity analysis as appropriate. The authorization may require a specific level of party/customer authentication to get approval."
